Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
Psystrike,Ranged(20ft),Psychic,Special,1/day,5d12,Psystrike’s Accuracy Check is made against the target’s Defense.,,Clever,Incentives
Pulverizing Pancake,Melee,Normal,Attack,1/day,10d12,"Immediately move next to your target, then roll your accuracy check.",,,
Punishment,Melee,Dark,Attack,3/day,1d20,Punishment deals an additional 1d10 damage for each stat buff Passive the target has.,,Clever,Catching Up
Purify,Melee,Poison,Effect,3/day,,"Target an ally or yourself. Target is cured of Poison and Toxin, then if they were cured of Poison or Toxin they are healed 1d20 HP.",,Clever,Incredible
Pursuit,Melee,Dark,Attack,At-Will,2d6,Pursuit deals +6 damage to a target if they moved away from you during their last action.,,Clever,Good Show!
Pyro Ball,Melee,Fire,Attack,1/day,5d12,"Pyro Ball has -2 during Accuracy Check. On hit, if you got 18 or higher on Accuracy Check, the target is Burned.",,Beauty,Torrential Appeal
Quash,Melee,Dark,Effect,3/day,,"On hit, the target will act last during each round for two mins. Its Speed is unaffected.",,Clever,Quick Set
Quick Attack,Melee,Normal,Attack,At-Will,2d6,Quick Attack has Priority.,,Cool,Quick Set
Rage,Melee,Normal,Attack,At-Will,2d6,"On hit, your Attack is +1 for 10 mins. This effect cannot be stacked.",,Cool,Get Ready!
Rage Powder,Ranged(10ft),Bug,Effect,3/day,,"Rage Powder is used as a Reaction. If an ally would be attacked, you may target the attacking enemy and they will only want to attack you instead, for 2 mins.",,Clever,Scrambler
Rain Dance,Field,Water,Effect,3/day,,"You create a circle of Raining Weather with a 60ft diameter. Within the Raining weather, Water-type attacks deal an additional 8 damage and Fire-type attacks deal 8 less damage. This weather disappears after 2 mins.",,Tough,Hold That Thought
Rapid Spin,Melee,Normal,Attack,At-Will,1d8,"Destroy any Hazards or Coats, and free bound allies within 5 ft. You may target Hazards, Coats, or bound allies with Rapid Spin without needing to roll Accuracy Check or damage.",,Cool,Round Starter
Razor Leaf,Ranged(25ft),Grass,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, Razor Leaf is a critical hit.",,Cool,Appeal
Razor Shell,Melee,Water,Attack,3/day,3d8,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Cool,Appeal
Razor Wind,"Ranged(30ft, 10ft wave)",Normal,Attack,3/day,3d10,"When you use this attack you immediately end your turn. During your next turn you may roll Razor Wind’s Accuracy Check and damage. On hit, if you got 18 or higher on Accuracy Check, Razor Wind is a critical hit.",,Cool,Special Attention
Recover,Self,Normal,Effect,1/day,,You are healed HP equal to half of your Max HP.,,Clever,Reflective Appeal
Reflect,Melee,Psychic,Effect,3/day,,Put a Reflect Coat on the target or yourself. The Coat has the following ability: Reduce damage from attacks that use the attack stat that hit you by 10. This Coat lasts for 2 mins.,,Clever,Excitement
Reflect Type,Ranged(30ft),Normal,Effect,At-Will,,Your Type changes to any one type that the target is. This effect lasts for 10 mins.,,Beauty,Attention Grabber
Relic Song,Ranged(20ft burst),Normal,Special,At-Will,3d8,"On hit, if you got 18 or higher on Accuracy Check, all targets are put to Sleep. On hit or miss, Meloetta may change from Aria Form to Pirouette Form, or back from Pirouette Form to Aria Form.",,,
Refresh,Melee,Normal,Effect,3/day,,Target an ally or yourself. Target is cured of all afflictions.,,Cute,Reflective Appeal
Rest,Self,Psychic,Effect,1/day,,"You recover your HP to Max HP, are cured of all afflictions, and then fall Asleep. You cannot attempt to wake up or be awoken naturally for 3 rounds.",,Cute,Reflective Appeal
Retaliate,Melee,Normal,Attack,1/day,1d20,"If the target knocked out an ally during this round, Retaliate has 5d12 for damage instead.",,Cool,Appeal
Return,Melee,Normal,Attack,3/day,3d10,Return can only be used if you have 3 or more loyalty.,,Cute,Round Starter
Revelation Dance,Ranged(10ft burst),(Variable),Special,1/day,3d12,This attack’s type is dependent on your primary type.,,Cute,Attention Grabber
Revenge,Melee,Fighting,Attack,3/day,3d8,"If you were attacked by the target this round, use 3d12 for damage instead.",,Tough,Final Appeal
Reversal,Melee,Fighting,Attack,1/day,1d10,"If you are at less than half of your Max HP, Reversal has 1d20 for damage instead. If you are at less than 5 HP, Reversal has 5d12 for damage instead.",,Cool,Final Appeal
Rising Voltage,Ranged(30ft),Electric,Special,1/day,3d12,"If you are within Electric Terrain while using Rising Voltage, it deals +2d12 damage on hit.",,Cool,Torrential Appeal
Roar,Ranged(30ft burst),Normal,Effect,1/day,,"On hit, Pokémon that are smaller than you will not want to fight and will attempt to run away from you.",,Cool,Excitement
Roar of Time,Ranged(80ft burst),Dragon,Special,3/day,5d20,You cannot act during the next round,,,
Rock Blast,Ranged(10ft),Rock,Attack,At-Will,1d4,Rock Blast has -2 during Accuracy Check. Rock Blast is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Rock Climb,Melee,Normal,Attack,3/day,3d10,"On hit, if you got 16 or higher on Accuracy Check, the target is Confused.",,Cool,Round Ender
Rock Slide,"Ranged(20ft, 10ft wave)",Rock,Attack,1/day,5d12,"Rock Slide has -2 during Accuracy Check. On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Rock Smash,Melee,Fighting,Attack,At-Will,2d6,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Round Ender
Rock Throw,Ranged(20ft),Rock,Attack,At-Will,2d6,,,Tough,Appeal
Rock Tomb,Ranged(15ft),Rock,Attack,3/day,3d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",,Clever,Slow Set
Rock Wrecker,"Ranged(25ft, 10ft blast)",Rock,Attack,1/day,5d20,Rock Wrecker has -2 during Accuracy Check. You cannot act during the next round.,,Tough,Seen Nothing Yet
Rolling Kick,Melee,Fighting,Attack,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Cool,Appeal
Rollout,Melee,Rock,Attack,At-Will,1d4,"For each time you’ve successfully used Rollout against the same target during the encounter, add 1d8 to Rollout’s damage.",,Tough,Reliable
Roost,Self,Flying,Effect,1/day,,You must be on the ground to use Roost. You are healed HP equal to half of your Max HP.,,Cool,Torrential Appeal
Round,Ranged(15ft burst),Normal,Special,3/day,3d8,"For every time anyone has used Round before you during this round of combat, Round deals +1d10 damage.",,Tough,Reliable
Sacred Fire,"Ranged(40ft, 25ft blast)",Fire,Attack,3/day,5d20,"On hit, all targets are Burned.",,,
Sacred Sword,Melee,Fighting,Attack,3/day,3d10,Sacred Sword has +2 during Accuracy Check.,,Cool,Appeal
Safeguard,Ranged(10ft),Normal,Effect,1/day,,Put a Safe Coat on all allies and yourself. The Coat has the following ability: You cannot become afflicted. This Coat lasts for 2 mins.,,Beauty,Hold That Thought
Sand Attack,Ranged(10ft),Ground,Effect,At-Will,,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,Cute,Excitement
Sand Tomb,Ranged(10ft),Ground,Attack,3/day,1d4,"On hit, the target is bound in place for 1d4 rounds. For each round the target is bound, it takes 1d4 physical damage on its turns.",Groundshaper,Clever,Torrential Appeal
Sandstorm,Field,Rock,Effect,3/day,,"You create a circle of Sandstorming Weather with a 60ft diameter. Anyone who acts within the Sandstorming weather takes 2d4 damage after acting unless they are Rock-type, Ground-type, or Steel-type. This weather disappears after 2 mins.",,Tough,Hold That Thought
Savage Spin Out,Melee(25ft burst),Bug,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Scald,Ranged(10ft),Water,Special,3/day,3d10,"On hit, if you got 14 or higher on Accuracy Check, the target is Burned.",Fountain,Clever,Appeal
Scale Shot,Ranged(10ft),Dragon,Attack,At-Will,1d4,Scale Shot has -2 during Accuracy Check. Scale Shot is a Scatter attack. Up to 5 attacks.,,Beauty,Reliable
Scorching Sands,Ranged(10ft),Ground,Special,3/day,3d10,"On hit, if you got 14 or higher on Accuracy Check, the target is Burned.",,Cute,Appeal
Scratch,Melee,Normal,Attack,At-Will,2d6,,,Tough,Appeal
Secret Sword,Melee,Fighting,Special,3/day,3d10,Secret Sword’s Accuracy Check is made against the target’s Defense.,,Cool,Appeal
Seed Bomb,Ranged(15ft),Grass,Attack,3/day,3d10,,,Clever,Appeal
Seed Flare,"Ranged(30ft, 10ft blast)",Grass,Special,3/day,5d20,"On hit, all target’s Special Defense is -5 for 10 mins",,,
Seismic Toss,Melee,Fighting,Attack,3/day,,"On hit, the target is moved 10ft then loses exactly 25 HP.",,Tough,Appeal
Self-Destruct,Ranged(30ft burst),Normal,Attack,1/day,7d20,"Set your HP to 0, then roll 1d20. On 10 or less, your HP is set to -100% HP and you must make a death savings throw.",,Beauty,Big Show
Shadow Ball,Ranged(20ft),Ghost,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Clever,Round Starter
Shadow Bone,Melee,Ghost,Attack,3/day,3d10,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Round Ender
Shadow Claw,Melee,Ghost,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, Shadow Claw is a critical hit.",,Cute,Round Starter
Shadow Force,Ranged(20ft burst),Ghost,Attack,3/day,5d12,"When you use this attack, you vanish, then you immediately end your turn. During your next turn, you reappear, your movement speed is doubled and you may roll Shadow Force’s Accuracy Check and damage. Priority attacks cannot be used out of turn order while Shadow Force is being used.",,,
Shadow Punch,Melee,Ghost,Attack,3/day,3d8,You can’t miss targets with less than 15 Defense.,,Clever,Round Starter
Shadow Sneak,Melee,Ghost,Attack,At-Will,2d6,Shadow Sneak has Priority.,,Clever,Quick Set
Shadow Tag,Ranged(10ft),Psychic,Effect,1/day,,"On hit, the target is bound in place for 2 mins. Ghost Pokémon are immune to Shadow Tag.",,Clever,Hold That Thought
Shattered Psyche,"Ranged(60ft, 20ft blast)",Psychic,(Variable),1/day,8d12,,,,
Sheer Cold,"Ranged(15ft, 10ft wave)",Ice,Special,1/day,,"On hit, roll 1d20. On a natural result of 17, 18, 19, or 20, the target is set to 0 HP.",Freezer,Beauty,Big Show
Shell Side Arm,Ranged(20ft),Poison,(Variable),3/day,3d10,"Shell Side Arm’s Accuracy Check is made against the target’s Defense or Special Defense and Shell Side Arm’s Accuracy Check is made with your Attack or Special Attack, both chosen before Accuracy Check. On hit, if you got 18 or higher on Accuracy Check, the target is Poisoned.",,Cool,Appeal
Shell Smash,Self,Normal,Effect,1/day,,"As a free action, your Defense and Special Defense are -3, then your Attack, Special Attack and Speed are +3 for 10 mins. This effect cannot be stacked.",,Tough,Get Ready!
Shell Trap,Self,Fire,Effect,1/day,,"Shell Trap is used as a Reaction. If you are hit by an enemy with an attack that makes contact with you, take the damage and any effects of the attack and then deal 3d12 Fire-type special attack damage to the attacker even if you are knocked out. You do not need to roll an accuracy check to hit the offender.",,Cool,Hold That Thought
Shield Protect,Self,Normal,Effect,3/day,,"Shield Protect is used as a Reaction. If you are hit by an attack, ignore the damage and any effects of the attack.",,,
Shock Wave,Ranged(20ft),Electric,Special,3/day,3d8,You can’t miss targets with less than 15 Special Defense.,Zapper,Cool,Round Starter
Shore Up,Self,Ground,Effect,1/day,,"You are healed HP equal to half of the target’s Max HP. If you are within Sandstorming Weather, you are healed HP equal to 3/4ths of your Max HP instead.",,Beauty,Reflective Appeal
Signal Beam,Ranged(15ft beam),Bug,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Confused.",,Beauty,Incentives
Silver Wind,Ranged(10ft),Bug,Special,1/day,2d8,"On hit, your Attack, Special Attack, Defense, Special Defense, and Speed are each raised +1 for 1 hour.",,Beauty,Incentives
Sing,Ranged(30ft burst),Normal,Effect,1/day,,"Sing has -8 during Accuracy Check. On hit, all targets fall Asleep.",,Cute,Excitement
Sinister Arrow Raid,"Ranged(100ft, 30ft blast)",Ghost,Special,1/day,8d12,,,,
Sketch,Ranged(25ft),Normal,Effect,1/day,,"You permanently learn the target's last-used move. If Sketch is used to learn a Move when you already know 6 Moves, the new move replaces Sketch.",,Clever,Catching Up
Skitter Smack,Melee,Bug,Attack,3/day,3d8,"On hit, the target’s Special Attack is -1 for 10 mins. This effect cannot be stacked.",,Cute,Appeal
Skull Bash,Melee,Normal,Attack,1/day,5d12,"When you use this attack you immediately end your turn. Your Defense is 15 until your next turn (unless your Defense is higher than 15). During your next turn, your movement speed is doubled and after getting to a target you may roll Skull Bash’s Accuracy Check and damage.",,Tough,Special Attention
Sky Attack,Melee,Flying,Attack,1/day,5d12,"When you use this attack, you raise yourself 40 ft into the air, then you immediately end your turn. During your next turn, your movement speed is tripled and after getting to a target you may roll Sky Attack’s Accuracy Check and damage. On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",,Tough,Special Attention
Sky Drop,Melee,Flying,Attack,1/day,3d12,"When you use this attack, you raise yourself and an adjacent target 40 ft into the air, then you immediately end your turn. The target may only make melee attacks until your next turn. During your next turn, you return to the ground, letting go of the target and you may roll Sky Drop’s Accuracy Check and damage.",,Clever,Special Attention
Sky Uppercut,Melee,Fighting,Attack,3/day,3d10,You may leap up to 60ft upwards to hit a target while using Sky Uppercut.,,Cool,Round Starter
Slack Off,Self,Normal,Effect,1/day,,You are healed HP equal to half of your Max HP.,,Cute,Reflective Appeal
Slam,Melee,Normal,Attack,3/day,3d10,Slam has -2 during Accuracy Check.,,Tough,Appeal
Slash,Melee,Normal,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, Slash is a critical hit.",,Cool,Appeal
Sleep Dust,Melee,Grass,Effect,3/day,,"On hit, the target is put to Sleep.",,,
Sleep Gas,"Ranged(15ft, 10ft burst)",Grass,Effect,3/day,,"Sleep Gas has -2 during Accuracy Check. On hit, the target is put to Sleep.",,,
Sleep Powder,Melee,Grass,Effect,At-Will,,"Sleep Powder has -5 during Accuracy Check. On hit, the target is put to Sleep.",,Clever,Inversed Appeal
Sleep Talk,Self,Normal,Effect,3/day,,Sleep Talk may only be used while you are Asleep. You randomly use another move that you know. You may move at half speed while using Sleep Talk.,,Cute,Appeal
Sludge,Ranged(15ft),Poison,Special,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Poisoned.",Repulsive,Cool,Appeal
Sludge Bomb,"Ranged(25ft, 5ft blast)",Poison,Special,1/day,3d12,"On hit, if you got 14 or higher on Accuracy Check, all targets are Poisoned.",Repulsive,Tough,Round Ender
Sludge Wave,"Ranged(20ft, 10ft wave)",Poison,Special,1/day,3d12,"On hit, if you got 18 or higher on Accuracy Check, all targets are Poisoned.",Repulsive,Cool,Appeal
Smack Down,Ranged(25ft),Rock,Attack,3/day,1d20,"On hit, Smack Down knocks the target out of the air, removing any Ground-type immunities and disabling the target’s ability to move in the air for 2 mins.",,Tough,Appeal
Smart Strike,Melee,Steel,Attack,3/day,3d8,You can’t miss targets with less than 15 Defense.,,Clever,Inversed Appeal
Smelling Salt,Melee,Normal,Attack,3/day,3d8,"If Smelling Salt is used against a Paralyzed target, Smelling Salt deals 5d8 for damage instead, then cures the target of Paralysis. If you choose not to roll damage while using Smelling Salt, you do not need to roll an Accuracy Check.",,Clever,Unsettling
Smite,Ranged(20ft),Normal,Special,3/day,3d8,"Smite uses your Defense or Speed modifier during accuracy check and damage. Smite cannot be resisted, nor can a target be immune to it.",,,
Smog,Ranged(5ft),Poison,Special,At-Will,1d4,"On hit, if you got 13 or higher on Accuracy Check, the target is Poisoned.",Repulsive,Tough,Appeal
Smoke Screen,Ranged(10ft),Normal,Effect,3/day,,"Place up to 25 contiguous ft of Smoke Screen Wall. Smoke Screen Wall has not thickness, is 12 ft tall and has the following ability: Attacks that target through or within the wall have -2 during Accuracy Check. This Wall disappears after 2 mins.",,Clever,Unsettling
Snap Trap,Melee,Grass,Attack,3/day,2d6,"On hit, the target is bound to you for 1 min.",,Cute,Unsettling
Snipe Shot,Ranged(40ft),Water,Special,3/day,3d10,"Snipe Shot cannot be redirected by passives or any other ability, instead only hitting a target it was directed at.",,Cool,Incredible
Snore,Melee,Normal,Special,At-Will,1d12,"Snore can only be used while you’re Asleep. You may move at half of your normal Speed if you use Snore during your action. On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",,Cute,Appeal
Soak,Melee,Water,Effect,3/day,,"On hit, put a Soak Coat on the target. The Coat has the following ability: You lose your Types and become only Water-type for 10 mins.",Fountain,Beauty,Torrential Appeal
Soft Song,Ranged(10ft),Normal,Effect,1/day,,"Soft Song has -4 during Accuracy Check. On hit, the target falls Asleep. If the target is Sleeping, you wake them instead.",,,
Softboiled,Melee,Normal,Effect,1/day,,Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP.,,Cute,Reflective Appeal
Solar Beam,Ranged(30ft beam),Grass,Special,1/day,5d12,"When you use this attack you immediately end your turn unless it’s Sunny. During your next turn, or immediately if it’s Sunny, you may target with and roll Solar Beam’s Accuracy Check and damage.",,Cool,Special Attention
Solar Blade,Melee,Grass,Attack,1/day,5d12,"When you use this attack you immediately end your turn unless it’s Sunny. During your next turn, or immediately if it’s Sunny, you may target with and roll Solar Blade’s Accuracy Check and damage.",,Cool,Special Attention
Sonic Boom,Ranged(5ft),Normal,Special,At-Will,,"10. On hit, the target loses exactly 10 HP.",,Cool,Appeal
Spacial Rend,"Ranged(40ft, 10ft blast)",Dragon,Special,3/day,5d12,"On hit, if you got 14 or higher on Accuracy Check, Spatial Rend is a critical hit",,,
Spark,Melee,Electric,Attack,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Paralyzed.",Zapper,Cool,Appeal
Sparkling Aria,Ranged(20ft burst),Water,Special,1/day,3d12,Sparkling Aria cures any ally’s Burns within range without damaging them.,,Beauty,Round Starter
Spectral Thief,Melee,Ghost,Attack,3/day,5d8,"On hit, your target’s stat passives are disabled. For the next ten minutes, you gain those passives. You may have any amount of stat passives through your uses of Spectral Thief.",,,
Spider Web,Ranged(20ft),Bug,Effect,1/day,,"On hit, the target is bound in place for 1d6 turns.",Threaded,Clever,Hold That Thought
Spider Webbing,"Ranged(20ft, 10ft burst)",Bug,Effect,3/day,,"On hit, the target is bound in place for 1d6 turns.",,,
Spike Cannon,Ranged(10ft),Normal,Attack,At-Will,1d4,Spike Cannon has -2 during Accuracy Check. Spike Cannon is a Scatter attack. Up to 5 attacks.,,Cool,Reliable
Spikes,Ranged(20ft burst),Ground,Effect,3/day,,"Place the Spikes Hazard in the area surrounding you. Spikes Hazard has the following ability: When a foe moves through Spikes Hazard during their turn and are on the ground, they lose 1/6th of their Max HP. This Hazard disappears after 2 mins.",,Clever,Hold That Thought
Spiky Shield,Self,Grass,Effect,1/day,,"Spiky Shield is used as a Reaction. If you are hit by an enemy within melee range with an attack, the enemy loses HP equal to 1/6th of its Max HP and you ignore the damage and any effects of the attack.",,Cute,Inversed Appeal
Spirit Break,Melee,Fairy,Attack,3/day,3d10,"On hit, the target’s Special Attack is -1 for 10 mins. This effect cannot be stacked.",,Tough,Unsettling
Spirit Shackle,Ranged(25ft),Ghost,Special,3/day,3d10,"On hit, the target is bound to the ground for 1d6 rounds.",,Beauty,Unsettling
Spit Up,Ranged(15ft),Normal,Special,1/day,,"Destroy up to 3 of your Coats of Stuff. For every Coat of Stuff you destroy, Spit Up deals an additional 2d10 damage.",,Tough,Round Ender
Splash,Melee,Normal,Effect,At-Will,,"Instead of making an Accuracy Check, roll 1d20. On 18 or higher, all adjacent foes are moved 5 ft away from the user.",,Cute,Inversed Appeal
Splintered Stormshards,"Ranged(60ft, 20ft blast)",Rock,Attack,1/day,8d12,Remove any weather or field effects from the field.,,,
Spook,Melee,Ghost,Attack,At-Will,2d6,,,,
Spore,Melee,Grass,Effect,1/day,,"On hit, the target is put to Sleep.",,Beauty,Get Ready!
Stampede,Melee,Normal,Attack,1/day,3d12,"Stampede can only be made against enemies that you passed through while moving during your turn. While moving with Stampede, it rolls an accuracy check to hit every foe you and any allied mounted Pokémon moves through with you. Stampede deals +1d12 damage for every allied mounted Pokémon that is moving with you. If all mounted Pokémon moving with Stampede share a type, Stampede’s type may be changed from Normal to that type. If you or any allied mounted Pokémon were, they are no longer bound. Any Pokémon involved in making this attack may still use a move during their turn.",,,
Stealth Rock,Ranged(5ft),Rock,Effect,3/day,,"Place a Stealth Rock Hazard adjacent to you. Stealth Rock Hazard has the following ability: If a foe moves within 20 ft of Stealth Rock Hazard, it will hurl itself at the foe, destroying itself and dealing 2d12 Rock-type damage to the foe without needing an",,Cool,Hold That Thought
Steam Eruption,Ranged(20ft burst),Water,Special,3/day,5d12,"On hit, if you got 14 or higher on Accuracy Check, all targets are Burned.",,,
Steamroller,Melee,Bug,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Steel Beam,Ranged(30ft),Steel,Special,1/day,7d12,"On hit, you lose HP equal to half of the damage you deal.",,Clever,Seen Nothing Yet
Steel Roller,Melee,Steel,Attack,1/day,5d12,"Steel Roller can only be used if you are in the area of a Terrain move, and destroys that Terrain when used.",,Clever,Unsettling
Steel Strike,Melee,Steel,Attack,At-Will,2d6,,,,
Steel Wing,Melee,Steel,Attack,At-Will,2d8,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Cool,Appeal
Sticky Web,Ranged(25ft burst),Bug,Effect,3/day,,"Place the Sticky Web Hazard in the area surrounding you. Sticky Wed Hazard has the following ability: Foes moving through Sticky Web Hazard on the ground have -25ft movement per turn, to a minimum of 5ft. This Hazard disappears after 2 mins.",,Clever,Hold That Thought
Stockpile,Self,Normal,Effect,At-Will,,"Put a Stuff Coat on yourself, unless you already have 3 Coats of Stuff. The Coat has the following ability: Your Defense and Special Defense are +1 if you have 1 or 2 Coats of Stuff. If you have 3 Coats of Stuff, your Defense and Special Defense are +2. These Coats last for 2 mins.",Inflatable,Tough,Round Ender
Stoked Sparksurfer,Ranged(100ft),Electric,Special,1/day,8d12,"On hit, the target is Paralyzed.",,,
Stomp,Melee,Normal,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Stomping Tantrum,Melee,Ground,Attack,1/day,3d12,"If you missed with your last attack during the last round, Stomping Tantrum has 5d12 for damage instead.",Groundshaper,Tough,Round Ender
Stone Edge,Ranged(25ft),Rock,Attack,1/day,5d12,"Stone Edge has -2 during Accuracy Check. On hit, if you got 18 or higher on Accuracy Check, Stone Edge is a critical hit.",,Tough,Incentives
Stone Fall,Ranged(35ft),Rock,Special,1/day,5d12,"On hit, if you got 18 or higher on Accuracy Check, Stone Fall is a critical hit.",,,
Stone Smash,Melee,Rock,Attack,At-Will,2d6,,,,
Storm Throw,Melee,Fighting,Attack,3/day,2d8,"Storm Throw has -2 during Accuracy Check. On hit, Storm Throw always counts as a critical hit and moves the target 5ft away from you.",,Cool,Appeal
Strange Steam,Ranged(10ft burst),Fairy,Special,3/day,3d10,"On hit, if you got 16 or higher on Accuracy Check, any targets are Confused.",,Cute,Appeal
Strength,Melee,Normal,Attack,3/day,3d10,"On hit, the target is moved 15ft away from you.",Strength,Tough,Appeal
Strength Sap,Melee,Grass,Effect,1/day,,"On hit, you are healed HP equal to the target's Attack stat, then the target’s Attack is -2 for 10 mins. This effect cannot be stacked.",,Clever,Inversed Appeal
Struggle,Melee,No-Type,Attack,At-Will,2d8,"Struggle is used if you can’t use any other attacks. Struggle has no type. After use, you lose HP equal to 1/4th of your Max HP.",,,
Struggle Bug,Ranged(5ft burst),Bug,Special,At-Will,2d6,"On hit, the target’s Special Attack is -1 for 10 mins. This effect cannot be stacked.",,Clever,Excitement
Struggling Bug,Ranged(20 ft),Bug,Special,At-Will,2d6,,,,
Stuff Cheeks,Self,Normal,Effect,At-Will,,"As a free action, consume your held Berry. Your Defense is +2 for 10 mins. This effect cannot be stacked.",,Cute,Get Ready!
Stun Gas,"Ranged(15ft, 10ft burst)",Grass,Effect,3/day,,"Stun Gas has -2 during Accuracy Check. On hit, the target is Paralyzed.",,,
Stun Spore,Melee,Grass,Effect,At-Will,,"Stun Spore has -5 during Accuracy Check. On hit, the target is Paralyzed.",,Clever,Excitement
Stylish Spin,Ranged(10ft),Normal,Effect,3/day,,"On hit, the target is Confused.",,,
Submission,Melee,Fighting,Attack,3/day,3d10,"On hit, you lose HP equal to 1/4th of the damage you deal.",,Cool,Appeal
Substitute,Self,Normal,Effect,1/day,,"Substitute is used as a Reaction. If you would take more than 1/6th of your Max HP in damage from an attack, instead lose HP equal to 1/6th of your Max HP.",,Clever,Catching Up
Subzero Slammer,"Ranged(60ft, 20ft blast)",Ice,(Variable),1/day,8d12,,,,
Sucker Punch,Melee,Dark,Attack,1/day,3d8,"Sucker Punch is used as a Reaction. When you are a targeted of a melee move, use Sucker Punch to attack the attacker before the enemy rolls their Accuracy Check against you. You must still roll an accuracy check for Sucker Punch.",,Clever,Quick Set
Sunny Day,Field,Fire,Effect,3/day,,"You create a circle of Sunny Weather with a 60ft diameter. Within the Sunny weather, Fire-type attacks deal an additional 8 damage and Water-type at-tacks deal 8 less damage. This weather disappears after 2 mins.",,Beauty,Hold That Thought
Sunsteel Strike,Ranged(20ft burst),Steel,Attack,3/day,5d20,Sunsteel Strike has +2 during Accuracy Check.,,,
Super Fang,Melee,Normal,Attack,1/day,,"On hit, the target’s current HP is halved.",,Tough,Appeal
Superpower,Melee,Fighting,Attack,1/day,5d12,"On hit, your Attack and Defense is -2 for 10 mins. This effect cannot be stacked.",,Tough,Round Ender
Supersonic,Ranged(10ft),Normal,Effect,At-Will,,"Supersonic has -8 during Accuracy Check. On hit, the target is Confused.",,Clever,Excitement
Supersonic Skystrike,Melee(25ft burst),Flying,(Variable),1/day,8d12,"Immediately move next to your target, then roll your accuracy check.",,,
Surf,"Ranged(30ft, 10ft wave)",Water,Special,1/day,5d12,,,Beauty,Round Starter
Surging Strikes,Melee,Water,Attack,3/day,1d12,"Surging Strikes is a Scatter attack. It has three attacks. On hit, Surging Strikes always counts as a critical hit.",,,
Swagger,Ranged(10ft),Normal,Effect,1/day,,"On hit, the target is Confused and the target’s Attack is +4 until they are no longer Confused.",,Cute,Excitement
Swallow,Self,Normal,Effect,1/day,,"Destroy up to 3 of your Coats of Stuff. For every Coat of Stuff you destroy, Swallow heals you 25 HP.",,Tough,Reflective Appeal
Sweet Kiss,Melee,Normal,Effect,3/day,,"Sweet Kiss has -4 during Accuracy Check. On hit, the target is Confused.",,Cute,Excitement
Sweet Scent,Ranged(10ft),Normal,Effect,At-Will,,"On hit, your next attack against the same target has +1 during Accuracy Check.",Alluring,Cute,Excitement
Swift,Ranged(20ft),Normal,Special,3/day,3d8,You can’t miss targets with less than 15 Special Defense.,,Cool,Round Starter
Switcheroo,Melee,Dark,Effect,1/day,,"On hit, you and the target trade any held items. If only you or the target has an item, take or give the item to exchange who has possession of it.",,Cool,Attention Grabber
Sync Move,Ranged(30ft beam),No-Type,(Variable),1/day,3d12,"You can’t miss targets with less than 15 Defense or Special Defense. Sync Move has no type which means it can’t be resisted and can’t be super-effective. However, if both participating attackers share a type, they may have Sync Move’s type be that type and be affected by weakness and resistance. Sync Move checks its accuracy against Defense or Special Defense, decided when declared as an attack. Sync Move’s attackers apply both Attack or both Special Attack modifiers to Sync Move’s damage. Sync Move takes up both attacker’s turns during that round of combat.",,,
Synchronoise,Ranged(50ft burst),Psychic,Special,3/day,5d8,Synchronoise can’t hit targets unless they share at least one type with you.,,Clever,Incentives
Synthesis,Self,Grass,Effect,1/day,,"You are healed HP equal to half of your Max HP. If you are within Sunny Weather, you are healed HP equal to 3/4ths of your Max HP instead.",Sprouter,Clever,Reflective Appeal
Tackle,Melee,Normal,Attack,At-Will,2d6,,,Tough,Appeal
